Draw,Date,Weekday,Winning Number 1,2,3,4,5,6,Extra Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
26/024,2026-03-03,Tuesday,6,13,20,31,32,44,45,,3,3,2,4,1,2,0,2,1,0,0,3.5,671150,70,89480,265,9600,4561.8,640,5917,320,90913.3,40,61238800
26/023,2026-02-28,Saturday,5,15,37,39,46,47,29,15,2,4,5,1,1,1,0,2,2,0,0,3.5,547560,57,89660,131,9600,3277.5,640,4056.2,320,62767.8,40,47716905
26/022,2026-02-26,Thursday,6,13,15,19,38,42,34,13,4,2,3,3,1,3,0,1,1,0,0,2,851550,57.5,78980,143,9600,3463.2,640,4162.4,320,67778.9,40,43978743
26/021,2026-02-24,Tuesday,2,3,4,10,13,23,12,2,6,0,3,3,4,1,1,0,0,1,8000000,13.5,79160,246.5,19200,854.5,9600,8308.5,640,13177.3,320,108347.9,40,45827149
26/020,2026-02-21,Saturday,2,18,34,35,37,49,33,37,2,4,3,3,1,1,0,3,1,5,42187500,13.5,1134250,641.5,63650,1579,9600,31457,640,47973.9,320,587764.5,40,402289808
26/019,2026-02-15,Sunday,8,28,33,36,37,46,4,"37,46",1,5,2,4,1,0,1,3,1,0,0,0,0,84,75670,194,9600,5387.9,640,6367,320,100564.2,40,62409046
26/018,2026-02-12,Thursday,2,3,14,25,37,46,10,"3,14",3,3,3,3,2,1,1,1,1,0,0,1,1651090,53.5,82290,140,9600,2900.7,640,4799.5,320,59589,40,42288156
26/017,2026-02-10,Tuesday,3,4,14,18,26,39,40,,4,2,2,4,2,2,1,1,0,1,20125190,2,1123590,80.5,74440,267,9600,5645.3,640,6622,320,105921.4,40,61090133
26/016,2026-02-07,Saturday,12,22,28,32,37,44,20,,2,4,1,5,0,1,2,2,1,0,0,2.5,717810,104.5,45790,205,9600,5082.7,640,5473.5,320,84540.6,40,49215360
26/015,2026-02-05,Thursday,1,9,17,24,35,36,42,,4,2,4,2,2,1,1,2,0,0,0,4,373340,87.5,45510,203,9600,4182,640,4232.7,320,78040.3,40,41559103
26/014,2026-02-03,Tuesday,12,23,27,37,39,42,5,,2,4,4,2,0,1,2,2,1,2,23276930,5.5,594660,144.5,60350,636,9600,7886.6,640,10795.4,320,140170.6,40,91368676
26/013,2026-01-31,Saturday,25,30,32,35,36,47,46,35,0,6,3,3,0,0,2,3,1,0,0,5,556140,82,90420,228,9600,4923.8,640,6354,320,93015.6,40,70104398
26/012,2026-01-29,Thursday,6,9,12,14,35,44,11,"12,14",4,2,2,4,2,2,0,1,1,0,0,0,0,85,70180,303,9600,5394.9,640,10088.8,320,104926.4,40,62445438
26/011,2026-01-27,Tuesday,7,12,14,25,38,47,15,,3,3,3,3,1,2,1,1,1,0,0,1,2140440,72.5,78720,218.5,9600,5231.6,640,6450.2,320,96827.6,40,57499361
26/010,2026-01-24,Saturday,6,16,17,22,28,48,45,,4,2,1,5,1,2,2,0,1,0,0,1,1676760,102,43830,186,9600,5037.9,640,4681,320,84287.2,40,46240143
26/009,2026-01-22,Thursday,4,9,15,24,27,31,45,"4,9",4,2,4,2,2,1,2,1,0,0,0,1,1480910,75.5,52300,131,9600,4006.6,640,3718,320,70831.9,40,39744053
26/008,2026-01-20,Tuesday,1,4,6,9,44,46,27,,4,2,2,4,4,0,0,0,2,5,7948200,5.5,465810,424.5,19200,448,9600,12532.7,640,11906.1,320,174574.8,40,84630978
26/007,2026-01-17,Saturday,5,12,15,23,27,42,46,,4,2,4,2,1,2,2,0,1,0,0,2,1268070,120.5,56120,235,9600,6386.7,640,6512.5,320,115249.3,40,67569840
26/006,2026-01-15,Thursday,3,6,37,38,39,44,48,38,2,4,3,3,2,0,0,3,1,0,0,0,0,122.5,47730,186.5,9600,5090.2,640,5826.5,320,89662.4,40,57457548
26/005,2026-01-13,Tuesday,14,24,34,38,48,49,27,24,2,4,1,5,0,1,1,2,2,0,0,1.5,1367560,114,47980,182,9600,4958.7,640,5398.8,320,80216.2,40,53797300
26/004,2026-01-10,Saturday,3,16,20,22,24,37,42,24,5,1,2,4,1,2,2,1,0,0,0,0,0,44.5,91200,117,9600,3009.4,640,3639.6,320,58572,40,38972058
26/003,2026-01-08,Thursday,15,21,24,40,45,46,13,,3,3,3,3,0,1,2,1,2,1,13667750,1.5,1259500,80,62970,136.5,9600,3312,640,4610.5,320,59715.6,40,47327267
26/002,2026-01-06,Tuesday,2,8,12,19,28,36,1,2,4,2,1,5,2,2,1,1,0,0,0,10.5,121900,167,20430,706.1,9600,7104.3,640,12783.6,320,103019.9,40,43413858
